"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"2561","Mugil","MT_60",2028,4513.41457109777,2109.5261301085,8937.40607013182,1.26353275924232e-07,2.21804846227236e-10,0.000525351528667092,"No MPA"
"2562","Mugil","MT_60",2029,4513.67157249194,2173.70732590057,8937.42227728808,2.42962324627054e-08,3.0895836966008e-11,0.00014604382795535,"No MPA"
"2563","Mugil","MT_60",2030,4513.78325407254,2214.90469464101,8937.42586957791,4.67153056175560e-09,4.23328022236637e-12,4.05988402710563e-05,"No MPA"
"2564","Mugil","MT_60",2031,4513.83178084601,2240.57296214555,8937.42667173791,8.98184325418753e-10,5.73577482879393e-13,1.12860880735344e-05,"No MPA"
"2565","Mugil","MT_60",2032,4513.85286524371,2256.2589506101,8937.42685246341,1.72689396827872e-10,7.71538091502386e-14,3.13742322166479e-06,"No MPA"
"2566","Mugil","MT_60",2033,4513.86202601957,2265.7287786858,8937.42689360996,3.32019226242342e-11,1.03311468434321e-14,8.72173220985161e-07,"No MPA"
"2567","Mugil","MT_60",2034,4513.86600617033,2271.40325257543,8937.42690309195,6.38351151993977e-12,1.37952276664831e-15,2.42455691113353e-07,"No MPA"
"2568","Mugil","MT_60",2035,4513.86773544962,2274.78812858768,8937.42690530696,1.22731364140554e-12,1.83897820440795e-16,6.74003288917601e-08,"No MPA"
"2569","Octopus","MT",2015,2832.94541362919,1268.78476704862,4038.89662549572,99.7413432657214,34.9708407987424,284.473500043465,"No MPA"
"2570","Octopus","MT",2016,3468.89383342606,1551.51562014647,5527.02254948305,25.77868514646,8.62911115511139,84.0760017633236,"No MPA"
"2571","Octopus","MT",2017,4014.19192493179,1844.19414176659,6848.68616216022,6.48909456309791,2.11876026089448,24.2153972157014,"No MPA"
"2572","Octopus","MT",2018,4394.69235252104,2118.43758730125,7623.51060726081,1.54370058988958,0.505686110628873,6.31539584686736,"No MPA"
"2573","Octopus","MT",2019,4616.66911538498,2352.4914803226,7912.9880107443,0.347429080702417,0.11663794779495,1.47959340652584,"No MPA"
"2574","Octopus","MT",2020,4730.07053577902,2535.32792397757,7990.31117958574,0.075030824859272,0.0260077626820138,0.323237969127081,"No MPA"
"2575","Octopus","MT",2021,4783.46772474209,2667.41997568375,8008.13289478204,0.0158034585889427,0.00562808357319445,0.0686973761071348,"No MPA"
"2576","Octopus","MT",2022,4807.55181978872,2757.0098364382,8012.06996299919,0.00328549684987792,0.00118896695704969,0.0144911332000383,"No MPA"
"2577","Octopus","MT",2023,4818.19294126755,2814.98713923336,8012.9307909768,0.000678822017622203,0.000246756752005708,0.00305147935317183,"No MPA"
"2578","Octopus","MT",2024,4822.85061849223,2851.30698491479,8013.11851177245,0.000139858832187743,5.05894220829336e-05,0.000642320409442925,"No MPA"
"2579","Octopus","MT",2025,4824.8808351967,2873.57937721083,8013.15941053687,2.87795034516075e-05,1.02891618530859e-05,0.000135193721613343,"No MPA"
"2580","Octopus","MT",2026,4825.76416190577,2887.05452016165,8013.16831649368,5.91888440255075e-06,2.08215005774037e-06,2.84546578387596e-05,"No MPA"
"2581","Octopus","MT",2027,4826.14818160273,2895.13966601999,8013.17025499962,1.2170071869517e-06,4.20045824673382e-07,5.9889195330461e-06,"No MPA"
"2582","Octopus","MT",2028,4826.3150731977,2899.96635436507,8013.17067677889,2.50208169036997e-07,8.45793022665083e-08,1.26050104662189e-06,"No MPA"
"2583","Octopus","MT",2029,4826.38759182782,2902.83906563661,8013.17076851574,5.14387358213819e-08,1.70114153584338e-08,2.65300373302931e-07,"No MPA"
"2584","Octopus","MT",2030,4826.41910093175,2904.54572347346,8013.17078846148,1.0574761864992e-08,3.41919107189353e-09,5.58383393368624e-08,"No MPA"
"2585","Octopus","MT",2031,4826.43279113934,2905.55854154434,8013.17079279669,2.17393830833426e-09,6.86960171575258e-10,1.17524150951901e-08,"No MPA"
"2586","Octopus","MT",2032,4826.4387392437,2906.15921351975,8013.17079373865,4.46912221841571e-10,1.37986279180663e-10,2.47355601797779e-09,"No MPA"
"2587","Octopus","MT",2033,4826.4413235546,2906.51531817359,8013.17079394325,9.1874830524319e-11,2.77126854749427e-11,5.20614641495036e-10,"No MPA"
"2588","Octopus","MT",2034,4826.442446374,2906.72638484972,8013.17079398768,1.8887329968843e-11,5.56525107807692e-12,1.09574880432928e-10,"No MPA"
"2589","Octopus","MT",2035,4826.44293421086,2906.85146933205,8013.17079399733,3.88279492105446e-12,1.11755585145026e-12,2.30624601474349e-11,"No MPA"
"2590","Octopus","MT_20",2015,3408.8888138078,1517.96137393364,4792.10235596411,144.0358255479,50.9819799337002,406.931892491346,"No MPA"
"2591","Octopus","MT_20",2016,4160.82882302906,1854.334380141,6532.93818561676,44.4201552666122,15.2204421615584,141.152178373851,"No MPA"
"2592","Octopus","MT_20",2017,4814.80774322345,2207.03460955412,8119.74859570913,13.4131758685941,4.54035434228353,48.2282358001851,"No MPA"
"2593","Octopus","MT_20",2018,5276.67051167218,2540.71986336893,9082.57878297907,3.83987027729965,1.31961470640883,15.0234143630501,"No MPA"
"2594","Octopus","MT_20",2019,5548.71241242133,2827.78179964436,9456.58025765268,1.04108054173873,0.370964359559001,4.21181833739409,"No MPA"
"2595","Octopus","MT_20",2020,5688.6300512802,3053.54425227647,9559.85774749043,0.270834421309131,0.10082300583671,1.09908027705425,"No MPA"
"2596","Octopus","MT_20",2021,5754.78675478517,3217.54567423663,9584.30451460519,0.0686921173675329,0.0265862477182542,0.278472106675327,"No MPA"
"2597","Octopus","MT_20",2022,5784.69586845884,3329.24196767637,9589.85004511478,0.0171915940492762,0.00684096187534233,0.0699722553179747,"No MPA"
"2598","Octopus","MT_20",2023,5797.92750341074,3401.73883601328,9591.09951761645,0.004275187851086,0.00172853348584754,0.0175473722492038,"No MPA"
"2599","Octopus","MT_20",2024,5803.72303107527,3447.24409927013,9591.3816805025,0.00106007169353769,0.000431294211894398,0.00439849068423443,"No MPA"
"2600","Octopus","MT_20",2025,5806.25015597505,3475.1845140354,9591.44569144883,0.000262516698083594,0.000106729646932812,0.00110243110783353,"No MPA"
"2601","Octopus","MT_20",2026,5807.34990418967,3492.10217605492,9591.46028942732,6.49731316310836e-05,2.6274313048993e-05,0.000276305394741176,"No MPA"
"2602","Octopus","MT_20",2027,5807.82806457478,3502.25771302292,9591.46363711972,1.60769571827229e-05,6.44734582220028e-06,6.9250837818672e-05,"No MPA"
"2603","Octopus","MT_20",2028,5808.03588167912,3508.32213997323,9591.46440923835,3.97765779798421e-06,1.57900199338687e-06,1.73564215712823e-05,"No MPA"
"2604","Octopus","MT_20",2029,5808.12618658541,3511.93214345797,9591.46458835844,9.84080810426977e-07,3.86255446740277e-07,4.3500598455829e-06,"No MPA"
