"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"1393","Panulirus","MT_60",2028,423.740632723876,138.016190871248,1307.80324988332,29.2970909763271,6.34998903566187,159.055114467631,"MPA 2015",0.0715345250925251
"1394","Panulirus","MT_60",2029,430.788498909818,139.092216116318,1325.3924399218,29.2201365474885,6.26190305687328,158.313159479217,"MPA 2015",0.070002260675897
"1395","Panulirus","MT_60",2030,437.2158259352,140.194882497338,1340.53747477372,29.0858230049108,6.17645579373184,157.111664022222,"MPA 2015",0.0685028276547571
"1396","Panulirus","MT_60",2031,443.101377521288,141.31939457804,1353.93096244246,28.9028704960941,6.0932472624902,155.593642189942,"MPA 2015",0.0670355214700675
"1397","Panulirus","MT_60",2032,448.516185904593,142.461288911821,1366.06409285271,28.6791212380432,6.01193144174721,153.861061639113,"MPA 2015",0.0655996528264154
"1398","Panulirus","MT_60",2033,453.523260912144,143.616421812775,1377.27907765903,28.4214987398884,5.93221007691471,151.985004091038,"MPA 2015",0.0641945473454966
"1399","Panulirus","MT_60",2034,458.177749498817,144.780959085727,1387.81139515519,28.1360244316886,5.8538272755801,150.014305977805,"MPA 2015",0.0628195452273762
"1400","Panulirus","MT_60",2035,462.527387525643,145.951366546213,1397.82176189221,27.8278718653387,5.7765647545533,147.982249380374,"MPA 2015",0.0614740009201548
"1401","Scomberomorus","MT",2015,6968.3835972163,560.86170196209,828.113494019039,2182.65534722196,86.8423357115646,54857.7091070678,"MPA 2015",0.343940696416564
"1402","Scomberomorus","MT",2016,7548.61637945073,674.601606002474,440.528963956049,2311.93384023031,101.875983519103,0,"MPA 2015",0.336571572427893
"1403","Scomberomorus","MT",2017,8127.57329163998,810.720247820375,286.488853592991,2443.26896788593,119.667266005068,0,"MPA 2015",0.329360416965808
"1404","Scomberomorus","MT",2018,8715.70107016899,973.95582026698,199.788925640602,2574.53662552846,140.673058458495,0,"MPA 2015",0.322303844960245
"1405","Scomberomorus","MT",2019,9309.8103009667,1169.20976209448,144.616712858785,2703.50957902069,165.390259883377,0,"MPA 2015",0.315398542882439
"1406","Scomberomorus","MT",2020,9903.45619247671,1401.57826549943,107.11705434626,2827.9829702151,194.339356254839,0,"MPA 2015",0.308641267221907
"1407","Scomberomorus","MT",2021,10489.9745600404,1676.1590116313,80.5678832915862,2945.90850945136,228.035982987148,0,"MPA 2015",0.302028843056067
"1408","Scomberomorus","MT",2022,11063.3798205589,1997.66362021174,61.2521968201406,3055.51928313736,266.946982876727,0,"MPA 2015",0.295558162706313
"1409","Scomberomorus","MT",2023,11618.7549862837,2369.83992088704,46.9286440956703,3155.42758381932,311.428268099852,0,"MPA 2015",0.289226184466644
"1410","Scomberomorus","MT",2024,12152.4463000049,2794.72233081248,36.1598650851667,3244.68277376811,361.644230609974,0,"MPA 2015",0.283029931385399
"1411","Scomberomorus","MT",2025,12662.1085949307,3271.77585542225,27.9811282609536,3322.78377365486,417.473200356074,0,"MPA 2015",0.276966490078685
"1412","Scomberomorus","MT",2026,13146.6231441494,3797.07162368246,21.7221677540416,3389.64913888275,478.410779737325,0,"MPA 2015",0.271033009555852
"1413","Scomberomorus","MT",2027,13605.9216254168,4362.70932131887,16.904762764718,3445.55450658795,543.491837290858,0,"MPA 2015",0.265226700042163
"1414","Scomberomorus","MT",2028,14040.7572758518,4956.74530004295,13.1806010140383,3491.05088645563,611.259543390941,0,"MPA 2015",0.259544831790161
"1415","Scomberomorus","MT",2029,14452.4624158694,5563.84361291188,10.2918717782765,3526.8774850657,679.810925385978,0,"MPA 2015",0.253984733877516
"1416","Scomberomorus","MT",2030,14842.7228693227,6166.70656630546,8.04533071573161,3553.88025841865,746.937388120289,0,"MPA 2015",0.248543792994224
"1417","Scomberomorus","MT",2031,15213.3883735957,6748.08555456006,6.29469103704674,3572.9435040838,810.353469148362,0,"MPA 2015",0.243219452225196
"1418","Scomberomorus","MT",2032,15566.3272010267,7292.92431143951,4.92835052486259,3584.9378195241,867.974008843789,0,"MPA 2015",0.238009209835674
"1419","Scomberomorus","MT",2033,15903.3248553903,7790.0851438088,3.86064751301645,3590.68453445854,918.173993363385,0,"MPA 2015",0.232910618066763
"1420","Scomberomorus","MT",2034,16226.0214611676,8233.23531376497,3.02551593380362,3590.93462925575,959.963071814503,0,"MPA 2015",0.227921281947344
"1421","Scomberomorus","MT",2035,16535.8800034811,8620.77235199862,2.3718108356768,3586.35913545803,993.033603864978,0,"MPA 2015",0.223038858127164
